communityname,state,population,householdsize,racepctblack,racepctwhite,racepctasian,racepcthisp,numburban,pcturban,medincome,pctwwage,pctwpubasst,pctwretire,medfaminc,percapinc,whitepercap,blackpercap,indianpercap,asianpercap,otherpercap,hisppercap,numunderpov,pctpopunderpov,pctless9thgrade,pctnothsgrad,pctbsormore,pctunemployed,pctemploy,pctemplmanu,pctemplprofserv,pctoccupmanu,pctoccupmgmtprof,malepctdivorce,malepctnevmarr,femalepctdiv,totalpctdiv,persperfam,pctfam2par,pctkids2par,pctyoungkids2par,pctimmigrecent,pctspeakenglonly,pctnotspeakenglwell,pctlarghousefam,pctlarghouseoccup,pctpersownoccup,pctpersdensehous,pcthousless3br,mednumbr,housvacant,pcthousoccup,pcthousownocc,pctvacantboarded,pctvacmore6mos,medyrhousbuilt,pcthousnophone,pctwofullplumb,ownocclowquart,ownoccmedval,ownocchiquart,ownoccqrange,rentlowq,rentmedian,renthighq,rentqrange,medrent,medrentpcthousinc,medowncostpctinc,medowncostpctincnomtg,numinshelters,numstreet,pctforeignborn,pctbornsamestate,pctsamehouse85,pctsamecity85,pctsamestate85,policreqperoffic,landarea,popdens,pctusepubtrans,lemaspctofficdrugun,murders,murdperpop,rapes,rapesperpop,robberies,robbbperpop,assaults,assaultperpop,burglaries,burglperpop,larcenies,larcperpop,autotheft,autotheftperpop,arsons,violentcrimesperpop,city,mayor,statename,party affiliation
Greeleycity,CO,60536,2.67,0.67,89.1,1.0,20.36,60359,99.71,23462,78.96,7.57,11.84,30705,11461,12074,7642,5856,7764,6256.0,6306,11044,19.46,11.86,23.42,25.08,5.67,62.52,14.58,27.47,14.39,25.88,9.55,35.98,12.5,11.09,3.09,72.39,68.92,74.4,20.02,85.45,3.06,5.0,3.36,57.84,3.76,47.95,3,1344,94.4,53.86,1.79,29.91,1970,5.96,0.24,56200,70400,91500,35300,237,314,396,159,354,27.4,21.8,12.4,107,0,4.71,50.46,38.95,69.03,84.29,,29.4,2057.1,0.67,0.0,3,4.56,20.0,30.4,25.0,38.0,86.0,130.73,675.0,1026.05,3352.0,5095.31,171.0,259.93,41.0,203.69,Greeley,John Gates,Colorado,
CostaMesacity,CA,96357,2.57,1.33,84.31,6.56,20.05,96357,100.0,40313,86.31,4.31,10.28,45266,18750,20021,17796,12403,14690,8317.0,8682,8614,9.17,7.4,16.52,27.26,4.17,74.47,19.19,19.72,9.72,30.69,12.48,42.3,17.63,15.0,3.08,71.03,67.31,84.89,21.97,73.97,8.08,8.6,5.1,41.65,9.87,62.61,2,2144,94.59,40.17,0.7,6.86,1968,1.62,0.5,211300,257000,313900,102600,651,759,921,270,810,28.6,24.3,11.3,225,26,21.57,42.58,38.03,73.97,83.94,456.7,16.1,5980.4,3.03,6.38,5,5.05,30.0,30.33,184.0,186.01,225.0,227.45,1250.0,1263.62,4918.0,4971.59,975.0,985.63,26.0,448.84,Costa Mesa,John Stephens,California,
LosAlamitoscity,CA,11676,2.84,3.0,84.87,7.18,12.5,11676,100.0,45171,85.19,2.3,15.78,47353,19361,19841,11200,21284,20012,14579.0,13766,495,4.38,5.09,14.1,29.3,4.24,68.04,16.72,24.11,9.11,35.41,10.67,33.88,15.95,13.42,3.14,72.58,72.9,89.54,8.58,82.39,1.42,5.56,3.99,44.41,5.81,52.98,2,166,96.12,43.23,3.01,12.65,1967,0.8,0.37,237300,296400,371700,134400,670,780,920,250,829,26.4,20.3,11.4,23,0,12.18,44.84,44.21,61.48,83.0,,4.2,2798.7,0.15,0.0,0,0.0,3.0,24.85,18.0,149.09,22.0,182.22,143.0,1184.46,279.0,2310.94,101.0,836.58,17.0,356.17,Los Alamitos,,California,
SouthOrangeVillagetownship,NJ,16390,3.17,18.69,76.63,3.42,3.27,16390,100.0,64338,85.12,2.1,14.6,78338,30465,32613,23417,6689,28922,8649.0,14173,425,3.03,3.25,9.98,53.09,3.64,65.49,7.81,38.43,6.06,49.22,5.01,43.96,7.96,6.55,3.21,84.96,82.74,96.94,10.17,84.89,1.27,6.46,4.77,82.54,1.26,29.12,3,310,94.35,75.01,0.32,24.52,1939,0.87,0.56,179400,234700,331800,152400,551,656,868,317,716,28.5,24.1,14.1,0,0,11.93,49.81,58.51,72.2,84.98,,3.0,5529.7,14.68,0.0,0,0.0,2.0,12.01,82.0,492.26,28.0,168.09,224.0,1344.7,498.0,2989.55,496.0,2977.55,0.0,672.35,South Orange Village,,New Jersey,
RedBluffcity,CA,12363,2.57,0.56,91.22,1.06,8.95,0,0.0,19474,64.92,20.02,15.89,22114,9997,10369,3440,8018,7699,5381.0,6391,2436,20.41,8.65,21.66,10.49,9.88,48.71,21.15,20.09,20.23,17.96,12.78,25.98,19.16,16.23,3.04,63.66,60.99,63.12,16.36,91.86,2.75,4.93,3.37,50.99,6.61,59.28,2,250,95.06,50.21,0.4,33.6,1967,4.53,0.4,49900,59700,74600,24700,224,291,356,132,356,28.4,21.9,13.0,31,6,5.19,62.02,43.85,71.77,90.59,,7.5,1641.4,0.0,0.0,0,0.0,6.0,44.94,16.0,119.84,109.0,816.42,106.0,793.95,769.0,5759.87,75.0,561.76,9.0,981.2,Red Bluff,,California,
Plainfieldtown,IN,10433,2.51,0.44,98.73,0.41,0.4,0,0.0,34466,79.59,3.1,18.15,40134,15307,15319,16762,8998,10000,0.0,8881,472,4.59,3.42,15.5,18.85,2.43,67.82,13.53,22.77,12.69,27.15,8.75,20.95,12.55,10.8,2.96,79.63,78.71,91.86,26.51,97.92,0.4,2.37,1.71,71.61,1.01,42.88,3,143,96.68,66.78,0.0,27.97,1966,3.7,0.63,54600,69100,90100,35500,266,362,432,166,453,22.6,17.3,11.6,0,0,0.8,70.71,48.8,70.65,89.48,,3.9,2705.7,0.11,0.0,0,0.0,7.0,44.38,2.0,12.68,21.0,133.15,69.0,437.48,328.0,2079.63,23.0,145.83,2.0,190.21,Plainfield,Adrian O. Mapp,Indiana,
Fredericksburgcity,VA,19027,2.55,21.63,76.04,1.08,2.43,19027,100.0,26614,78.27,5.7,14.93,33353,13825,15390,9103,10031,6877,6980.0,9942,2049,12.29,11.51,26.25,26.07,3.32,61.46,7.18,26.58,12.17,28.31,12.35,40.56,13.4,12.93,2.91,62.35,58.27,74.79,28.36,95.38,1.04,4.3,2.47,40.13,2.71,62.83,2,613,92.4,37.3,3.43,22.02,1964,8.78,0.42,78000,104900,157500,79500,363,461,523,160,530,27.2,20.6,12.4,13,60,2.89,58.25,40.95,53.34,82.58,,10.9,1746.9,2.15,0.0,1,4.47,9.0,40.21,27.0,120.63,63.0,281.46,102.0,455.7,631.0,2819.1,32.0,142.97,12.0,446.77,Fredericksburg,,Virginia,
Colleyvillecity,TX,12724,3.11,0.67,96.74,1.71,2.26,12724,100.0,77530,92.92,1.53,12.08,80541,31967,31742,42375,34822,46973,2897.0,10510,159,1.25,2.33,6.98,45.54,3.12,70.71,14.28,18.59,4.67,43.05,4.62,19.78,5.68,5.15,3.27,93.6,90.88,96.75,22.76,95.08,0.52,3.93,3.57,94.82,0.95,7.31,4,215,95.01,94.36,0.47,44.65,1982,0.2,0.0,129900,187900,283500,153600,370,496,733,363,647,23.6,22.7,12.2,0,0,3.42,44.35,41.63,64.23,73.5,,13.6,937.0,0.27,0.0,0,0.0,1.0,5.29,1.0,5.29,4.0,21.17,31.0,164.04,229.0,1211.77,8.0,42.33,1.0,31.75,Colleyville,,Texas,
Pittsburgcity,CA,47564,3.04,17.58,58.6,12.18,23.73,47564,100.0,38532,82.87,12.03,14.42,41512,13686,15469,10521,10818,13750,9111.0,10286,5071,10.79,10.56,23.51,14.35,7.0,64.56,14.11,18.47,13.94,20.46,10.58,31.2,14.28,12.46,3.44,71.49,66.23,80.69,19.11,71.46,6.29,10.13,7.74,63.21,11.08,43.52,3,1066,93.62,61.4,6.85,13.7,1975,3.61,0.57,106700,138900,165800,59100,409,566,675,266,622,27.1,25.9,12.9,130,33,18.71,53.33,44.42,75.07,88.89,,11.3,4222.7,4.53,0.0,2,3.82,18.0,34.42,199.0,380.52,235.0,449.36,899.0,1719.03,1353.0,2587.15,263.0,502.9,18.0,868.12,Pittsburg,Ed Gainey,California,
MissionViejocity,CA,72820,2.89,0.93,90.3,6.25,7.71,72820,100.0,61058,87.49,1.79,13.66,64690,24160,24844,19738,18175,18151,15757.0,17938,1420,1.96,1.38,6.33,39.1,2.9,72.49,18.78,22.33,5.18,39.89,7.0,25.83,10.77,8.93,3.2,85.98,85.36,94.05,12.71,85.41,1.73,4.61,3.75,81.35,2.89,30.22,3,1219,95.38,80.0,0.08,24.77,1978,0.22,0.28,211200,254500,323000,111800,719,916,1001,282,969,30.1,27.2,11.8,0,0,12.54,41.58,41.92,72.76,83.65,,18.1,4027.7,0.62,0.0,3,3.56,13.0,15.43,32.0,37.99,142.0,168.58,687.0,815.59,1539.0,1827.05,220.0,261.18,35.0,225.56,Mission Viejo,Trish Kelley,California,
LongBeachcity,CA,429433,2.7,13.68,58.38,13.57,23.62,429433,100.0,31938,77.65,11.35,13.73,36305,15639,20334,10518,12658,9544,6860.0,7758,69694,16.82,11.53,24.49,23.22,6.54,62.93,20.42,22.77,13.21,28.85,11.64,41.43,15.94,13.78,3.36,64.25,60.26,71.53,19.87,67.24,9.81,11.98,7.18,40.03,16.49,74.38,2,11413,93.3,40.96,3.39,16.67,1955,4.28,0.73,168700,222900,292600,123900,435,551,694,259,605,30.0,25.1,11.4,394,66,24.25,40.92,40.38,77.16,84.29,946.2,51.8,8287.7,6.3,4.2,126,28.9,200.0,45.87,3717.0,852.46,3073.0,704.76,6780.0,1554.92,14108.0,3235.53,7626.0,1748.95,243.0,1631.98,Long Beach,Rex Richardson,California,Democrat
Duluthcity,MN,85493,2.47,0.87,95.89,0.9,0.6,85493,100.0,23370,70.64,9.7,18.09,31431,12484,12733,7500,6606,7360,5762.0,9377,13578,16.57,6.48,18.58,22.51,7.22,55.07,8.4,33.9,11.06,28.55,9.25,35.33,12.13,10.8,2.97,69.42,69.45,76.46,8.73,95.27,0.51,3.17,2.09,70.69,1.35,50.05,2,1459,95.95,64.45,2.33,36.19,1939,2.79,0.29,34200,46300,65100,30900,203,287,390,187,312,29.4,15.5,12.4,303,2,2.41,75.95,54.5,81.66,92.46,363.4,70.0,1220.6,5.85,5.6,6,7.08,,,53.0,62.51,221.0,260.67,859.0,1013.2,3266.0,3852.28,268.0,316.11,14.0,,Duluth,Roger Reinert,Minnesota,
Shelbycity,NC,14669,2.41,42.5,57.03,0.23,0.47,0,0.0,19829,71.32,12.54,14.19,25315,11889,15950,6541,0,13329,5202.0,6631,2747,19.27,16.77,38.97,15.76,8.57,54.03,35.81,21.38,28.15,22.8,12.19,30.17,15.68,14.2,2.96,48.59,44.02,53.46,13.17,96.47,0.89,4.41,2.89,52.44,2.52,52.66,2,393,93.93,52.75,4.07,37.4,1960,9.54,0.49,37500,52600,77000,39500,159,229,299,140,343,27.9,22.1,13.4,17,0,1.14,79.34,53.44,87.8,93.28,,9.1,1612.7,0.0,0.0,3,18.67,12.0,74.69,70.0,435.68,143.0,890.02,454.0,2825.67,937.0,5831.83,41.0,255.18,7.0,1419.06,Shelby,Not Found,North Carolina,
Coronacity,CA,76095,3.18,2.76,75.88,7.1,30.36,76095,100.0,43555,88.08,6.57,11.97,46618,15292,16292,19120,18008,15532,8557.0,8767,6278,8.31,10.42,23.88,17.96,5.76,68.96,25.74,16.73,16.73,26.65,8.31,29.4,11.54,9.9,3.5,81.42,76.95,90.23,17.82,69.13,8.33,10.4,8.44,64.92,11.78,43.8,3,2618,90.13,63.94,0.23,18.37,1982,2.36,0.3,147300,186300,235600,88300,501,592,697,196,659,27.7,28.6,11.9,56,9,18.68,51.77,32.85,50.62,87.02,,29.5,2579.1,0.73,0.0,1,1.07,28.0,29.99,237.0,253.84,219.0,234.56,1552.0,1662.29,3099.0,3319.23,1334.0,1428.8,23.0,519.47,Corona,Tom Richins,California,
Beverlycity,MA,38195,2.58,0.86,97.63,1.02,1.15,38195,100.0,39603,77.43,6.8,17.89,48040,18436,18551,14015,24024,12859,6216.0,12070,2437,6.62,3.83,12.89,27.98,5.42,65.77,18.86,28.02,10.09,32.3,7.54,32.62,10.86,9.33,3.04,75.42,72.49,85.41,7.33,92.4,0.71,3.17,2.16,66.18,0.9,48.7,3,856,94.53,58.91,1.52,31.19,1948,1.13,0.22,152500,177200,221800,69300,376,583,717,341,640,27.6,22.0,13.1,43,0,4.96,75.97,57.57,85.18,90.62,,16.0,2388.0,5.14,0.0,0,0.0,4.0,10.27,14.0,35.93,16.0,41.06,538.0,1380.69,589.0,1511.57,106.0,272.03,4.0,87.26,Beverly,Michael P. Cahill,Massachusetts,
CoralSpringscity,FL,79443,2.94,3.48,93.08,2.12,7.12,79443,100.0,43428,87.41,2.15,9.04,49856,18319,18653,11989,26800,16487,10683.0,13111,4087,5.16,3.42,10.81,31.47,3.85,72.25,9.84,21.44,6.2,32.87,7.37,27.41,11.81,9.68,3.34,81.78,81.54,91.14,14.22,86.64,1.82,4.02,3.18,67.04,3.69,42.47,3,2771,90.7,62.4,0.47,23.78,1982,1.05,0.22,127700,160200,207500,79800,497,576,678,181,661,27.9,26.1,13.8,0,1,11.37,18.21,33.35,61.84,68.53,477.1,24.3,3265.0,0.78,6.54,1,1.06,18.0,19.14,42.0,44.67,216.0,229.72,689.0,732.78,2976.0,3165.08,258.0,274.39,4.0,294.6,Coral Springs,Scott Brook,Florida,
NorthBranfordtown,CT,12996,2.9,1.26,97.99,0.51,0.89,10295,79.22,50798,86.63,3.17,16.58,53253,19408,19332,25248,13765,26565,0.0,16761,266,2.05,3.9,15.75,25.25,2.81,72.71,18.46,26.08,9.44,31.51,5.72,26.05,7.19,6.47,3.22,87.61,86.25,100.0,2.04,93.66,0.55,4.21,3.48,89.99,0.87,28.24,3,129,97.2,87.57,1.55,48.06,1964,0.31,0.48,155600,183900,222300,66700,464,647,830,366,765,28.6,22.3,13.8,0,0,3.02,78.46,71.27,91.17,94.18,,25.8,503.3,0.24,0.0,0,0.0,1.0,7.6,1.0,7.6,5.0,38.0,70.0,531.96,173.0,1314.69,16.0,121.59,0.0,53.2,North Branford,,Connecticut,
Geneseetownship,MI,24093,2.74,8.16,89.99,0.26,2.08,20392,84.64,30160,74.51,11.82,24.08,35113,12531,12936,8902,10072,9096,5087.0,7505,3305,13.77,8.36,27.6,5.6,11.36,52.95,32.47,18.89,25.19,16.0,10.87,25.79,14.71,12.9,3.11,66.84,65.5,70.32,1.67,96.32,0.32,4.38,3.42,84.75,2.51,41.45,3,438,95.25,84.31,6.16,53.42,1962,4.14,0.09,35400,48300,63300,27900,255,299,347,92,395,35.1,15.7,14.2,0,0,1.49,81.92,64.11,93.41,97.68,,30.5,791.2,0.51,0.0,2,8.08,,,15.0,60.59,92.0,371.64,278.0,1123.01,481.0,1943.04,91.0,367.6,9.0,,Genesee,,Michigan,
SanBrunocity,CA,38961,2.66,4.08,71.62,17.93,18.61,38961,100.0,42019,83.76,4.56,15.36,48112,18289,19667,12957,14707,15914,12257.0,13548,1802,4.77,5.65,15.96,21.32,4.12,67.83,9.14,18.48,10.85,26.21,10.12,35.33,13.22,11.65,3.18,77.36,74.56,90.43,12.97,69.5,4.76,6.14,4.07,64.39,8.8,55.87,2,538,96.46,62.5,1.86,19.14,1960,0.85,0.4,249300,294600,357100,107800,595,709,877,282,763,27.6,25.8,11.5,5,0,24.09,53.33,53.45,76.69,91.0,,6.7,5846.5,6.3,0.0,0,0.0,8.0,19.63,55.0,134.95,52.0,127.59,190.0,466.18,1408.0,3454.62,218.0,534.88,10.0,282.16,San Bruno,Rico E. Medina,California,
Valdostacity,GA,39806,2.81,43.48,55.19,0.87,1.13,0,0.0,21864,78.28,12.64,13.13,27231,11329,15675,5735,7818,18356,4444.0,11580,8947,23.83,11.35,30.5,21.1,7.67,59.19,16.99,27.65,18.09,26.04,10.79,36.48,14.77,12.97,3.22,59.97,52.34,60.57,25.28,96.02,0.5,6.44,4.44,51.28,5.61,44.1,3,1465,90.61,50.1,2.32,43.96,1968,10.61,0.79,37600,59600,85700,48100,161,264,338,177,359,26.5,19.9,13.2,1,0,1.81,67.26,42.6,71.56,84.71,,27.4,1451.1,0.04,0.0,8,17.5,17.0,37.19,164.0,358.76,249.0,544.7,754.0,1649.42,1988.0,4348.87,160.0,350.01,3.0,958.15,Valdosta,Scott James Matheson,Georgia,
OklahomaCitycity,OK,444719,2.49,15.98,74.78,2.36,4.95,439140,98.74,25741,78.45,6.57,14.88,31587,13528,15301,7949,9070,10828,6340.0,7173,69096,15.86,7.06,21.78,21.57,7.06,62.66,12.02,22.56,13.18,26.33,13.7,27.65,17.19,15.53,3.06,68.95,64.48,75.15,15.05,92.49,1.45,4.94,3.24,62.09,4.13,52.24,2,33705,84.13,59.51,11.03,50.46,1967,7.67,0.7,35800,54900,79200,43400,218,282,363,145,364,25.1,20.6,12.5,1016,234,4.21,62.21,46.68,78.69,89.51,551.6,630.0,705.8,0.89,3.48,80,17.16,515.0,110.46,1724.0,369.77,4161.0,892.47,10000.0,2144.85,29316.0,6287.86,5539.0,1188.04,420.0,1389.87,Oklahoma City,David Holt,Oklahoma,Republican
PortLavacacity,TX,10886,2.88,4.68,71.3,3.03,46.63,0,0.0,21946,77.74,5.47,14.01,28653,9924,11409,7261,500,11843,5175.0,6081,2188,20.44,19.38,35.51,10.78,9.97,55.43,21.14,17.91,16.95,19.15,9.65,25.39,12.66,11.21,3.34,74.74,68.92,78.68,24.01,61.15,5.62,8.13,6.13,64.09,10.44,48.67,3,536,87.59,63.07,10.63,54.66,1966,12.53,1.0,32900,45500,66200,33300,184,255,331,147,333,29.7,17.6,11.6,0,0,7.16,77.13,57.62,82.01,94.19,,6.6,1642.4,0.24,0.0,0,0.0,3.0,25.49,8.0,67.98,135.0,1147.18,155.0,1317.13,437.0,3713.46,28.0,237.93,6.0,1240.65,Port Lavaca,,Texas,
Alicecity,TX,19788,3.11,0.89,78.96,0.32,72.59,0,0.0,18962,70.46,15.26,10.69,21345,8515,9117,4721,6209,31527,5664.0,6177,5546,28.5,24.03,41.74,10.58,9.97,49.56,4.99,20.6,13.89,20.22,8.48,26.33,11.98,10.33,3.53,76.31,69.91,84.09,4.0,33.19,9.11,10.15,8.04,68.54,11.21,51.6,2,827,88.51,67.59,13.78,68.2,1964,12.13,1.17,23200,35900,54800,31600,136,216,287,151,306,24.8,21.8,14.6,0,0,3.28,89.79,62.75,88.59,98.1,,12.1,1631.1,0.24,0.0,0,0.0,8.0,38.55,10.0,48.19,122.0,587.92,389.0,1874.61,961.0,4631.1,41.0,197.58,22.0,674.67,Alice,,Texas,
Sterlingcity,CO,10362,2.4,0.18,93.51,0.23,10.62,0,0.0,20189,70.72,7.1,12.59,24650,10189,10577,18912,9233,4133,4017.0,4789,1691,16.91,9.71,22.38,13.15,4.52,60.0,7.83,27.05,16.94,17.79,10.06,27.09,11.92,11.07,2.99,73.18,73.72,82.43,14.1,91.54,0.66,3.78,2.36,63.92,2.5,51.36,2,474,90.11,61.01,4.01,58.44,1955,7.92,0.48,28700,40200,56800,28100,155,216,297,142,273,23.5,20.4,13.4,0,0,3.01,58.42,52.32,78.65,90.47,,5.6,1853.0,0.4,0.0,0,0.0,2.0,18.94,1.0,9.47,14.0,132.6,67.0,634.59,374.0,3542.34,14.0,132.6,2.0,161.02,Sterling,,Colorado,
Coronadocity,CA,26540,3.62,6.85,86.16,3.44,8.26,26540,100.0,47790,71.68,4.04,25.71,58074,21972,23701,10450,11328,12798,11206.0,13588,688,4.07,2.13,5.88,39.25,1.71,75.39,8.47,27.71,3.93,43.73,7.79,55.51,13.95,9.8,2.79,80.21,80.06,92.05,20.02,87.14,1.29,3.17,2.02,50.42,2.39,54.77,2,1818,80.12,50.16,0.17,28.88,1966,0.42,0.07,337500,452500,500001,162501,581,746,1001,420,805,27.9,27.6,11.4,0,0,8.92,20.38,26.25,43.63,53.27,,8.0,3324.1,6.26,0.0,3,13.67,3.0,13.67,19.0,86.6,48.0,218.78,214.0,975.39,552.0,2515.95,145.0,660.89,9.0,332.73,Coronado,,California,
Bremertoncity,WA,38142,2.59,7.13,83.93,5.28,4.85,38065,99.52,22610,72.53,11.14,23.85,26423,11418,12090,8327,6839,7953,7510.0,8370,6201,18.1,6.46,17.96,12.65,7.4,60.43,18.77,21.64,11.86,20.63,12.16,38.01,17.73,14.75,2.99,68.32,66.99,75.27,11.79,91.95,0.74,4.66,2.81,38.01,5.07,63.17,2,975,93.79,39.07,4.1,36.72,1951,6.52,0.45,50900,64200,82700,31800,246,329,393,147,390,24.7,19.5,12.5,30,4,4.63,33.0,33.7,55.97,64.09,,20.6,1851.6,7.79,0.0,0,0.0,43.0,99.97,63.0,146.46,161.0,374.29,366.0,850.87,1573.0,3656.86,137.0,318.49,6.0,620.71,Bremerton,Greg Wheeler,Washington,
RapidCitycity,SD,54523,2.58,1.27,88.19,0.99,2.23,54523,100.0,25740,78.54,6.79,14.98,31056,12469,13310,10045,5269,8910,7474.0,10978,7257,13.65,6.52,15.07,23.35,5.21,65.82,11.89,26.65,11.29,26.3,9.31,30.05,13.63,11.54,3.06,72.67,70.31,77.67,21.04,94.11,0.58,4.6,3.14,60.63,2.86,48.66,3,1378,93.88,57.27,1.09,19.3,1967,4.9,0.24,43200,56800,73700,30500,233,335,426,193,396,26.6,21.8,12.9,148,4,2.12,55.05,42.47,67.48,77.85,,36.6,1489.4,0.46,0.0,1,1.72,45.0,77.26,25.0,42.92,187.0,321.04,481.0,825.78,2912.0,4999.31,142.0,243.79,,442.93,Rapid City,Jason Salamun,South Dakota,
LaPalmacity,CA,15392,3.2,4.17,59.91,31.11,12.16,15392,100.0,54364,90.63,3.2,12.34,56959,19337,21960,18848,40457,15184,12119.0,14640,904,5.89,3.34,11.15,31.52,2.5,74.04,21.68,20.4,7.78,36.65,6.76,31.95,9.45,8.12,3.41,83.33,79.48,88.99,15.08,63.94,6.41,6.93,5.92,76.5,8.29,26.48,3,120,97.57,74.18,0.0,15.83,1971,0.85,0.12,255600,306500,360500,104900,672,729,881,209,810,27.5,23.0,11.2,0,1,27.62,44.28,58.81,71.95,89.85,,1.9,8169.9,0.67,0.0,1,6.22,2.0,12.43,16.0,99.45,41.0,254.85,140.0,870.21,378.0,2349.58,128.0,795.62,12.0,372.95,La Palma,,California,
Glenviewvillage,IL,37093,2.78,0.77,91.0,7.42,2.42,37093,100.0,59020,83.39,1.89,12.69,67412,30531,31602,15439,12993,20991,9963.0,17763,628,1.71,2.94,7.79,46.21,2.42,67.1,15.42,28.1,4.91,45.2,4.91,25.34,7.87,6.45,3.16,89.47,89.92,96.08,11.59,82.66,1.99,3.76,2.97,87.71,1.08,29.18,3,415,96.98,85.4,0.48,23.86,1963,0.54,0.0,172300,235600,340300,168000,501,694,909,408,777,24.2,20.3,12.0,0,0,11.28,64.88,59.26,88.84,91.02,,12.4,2996.2,9.71,0.0,1,2.65,,,4.0,10.61,20.0,53.04,143.0,379.21,733.0,1943.78,31.0,82.21,0.0,,Glenviewvillage,Not Found,Illinois,
Dinubacity,CA,12743,3.41,0.24,55.84,3.11,60.37,0,0.0,22032,73.44,23.93,12.07,24974,8354,10137,3973,8386,10103,5723.0,5915,2827,22.58,34.36,50.72,8.98,14.95,52.83,8.25,20.32,15.91,15.63,5.95,30.23,10.5,8.21,3.69,72.43,67.29,75.81,16.62,47.05,16.08,15.54,12.75,57.06,21.94,52.95,2,103,97.31,59.28,2.91,35.92,1967,6.86,1.07,53400,67500,86500,33100,216,296,369,153,376,30.0,23.2,11.9,0,0,23.28,54.7,47.28,78.97,90.63,,2.8,4583.8,0.0,0.0,0,0.0,3.0,22.02,10.0,73.42,67.0,491.89,195.0,1431.61,409.0,3002.72,73.0,535.94,1.0,587.33,Dinuba,,California,
TempleTerracecity,FL,16444,2.57,5.38,91.2,1.96,8.65,16444,100.0,37156,85.91,1.72,15.61,41982,19266,20177,10521,0,6974,11488.0,14543,1076,6.67,2.42,7.82,39.7,2.92,71.21,8.67,32.9,5.66,40.73,8.04,29.53,14.39,11.42,2.93,74.99,74.49,82.25,17.67,86.85,1.44,2.48,1.8,64.96,2.23,45.14,3,444,93.52,62.75,0.0,18.47,1977,1.14,0.15,70900,100100,148400,77500,396,443,517,121,523,26.5,21.7,12.9,0,0,7.47,33.17,39.88,69.58,78.9,,5.1,3209.2,0.84,0.0,2,12.05,0.0,0.0,24.0,144.54,9.0,54.2,123.0,740.79,424.0,2553.6,86.0,517.95,0.0,210.79,Temple Terrace,,Florida,
Bendcity,OR,20469,2.4,0.19,97.51,0.75,2.37,0,0.0,25787,77.55,5.1,14.84,30776,13110,13201,1589,10954,9620,12017.0,7723,2637,13.15,3.87,14.69,23.02,4.24,67.33,16.82,21.53,15.58,26.85,13.27,29.85,16.95,15.17,2.92,70.49,69.46,81.12,6.97,96.14,0.36,3.1,1.98,57.18,2.96,52.32,2,478,94.69,54.12,1.46,17.99,1969,5.47,0.5,53100,68800,92000,38900,286,369,440,154,442,26.7,20.8,15.5,100,6,2.66,41.64,34.94,66.11,81.15,,13.9,1470.9,0.4,0.0,0,0.0,10.0,41.02,26.0,106.66,86.0,352.79,353.0,1448.09,1865.0,7650.65,81.0,332.28,8.0,500.47,Bend,,Oregon,
Bernardstownship,NJ,17199,2.71,1.72,94.97,3.05,1.92,15616,90.8,70000,87.4,1.51,13.47,80572,33458,34046,17546,20100,24908,7926.0,31761,246,1.52,3.34,6.81,54.86,2.86,66.47,14.99,26.07,3.88,51.15,7.68,28.01,8.1,7.89,3.02,91.41,90.17,98.13,10.88,89.65,1.0,2.65,1.92,86.58,0.3,36.44,3,313,95.3,83.23,0.64,28.75,1977,0.93,0.23,218600,287500,388300,169700,376,943,1001,625,999,25.1,25.2,12.7,0,0,7.32,50.87,47.92,56.66,83.18,,24.9,691.9,5.87,0.0,0,0.0,0.0,0.0,0.0,0.0,14.0,75.72,46.0,248.8,170.0,919.47,9.0,48.68,0.0,75.72,Bernards,,New Jersey,
Pocatellocity,ID,46080,2.68,0.86,94.07,1.27,4.53,46058,100.0,24955,78.84,5.4,13.2,31089,11385,11637,9421,6017,7772,7252.0,6816,6902,15.34,4.83,16.93,22.16,6.09,62.45,12.41,28.36,14.69,27.68,10.25,27.78,12.78,11.55,3.23,76.98,78.33,86.94,21.11,94.92,0.28,8.44,5.8,69.39,3.05,46.2,3,1585,91.55,63.96,3.47,43.03,1961,4.35,0.39,38700,51300,69000,30300,174,234,297,123,289,24.5,18.3,11.5,19,0,1.88,60.3,47.0,75.38,85.9,,28.6,1610.3,3.05,0.0,1,1.96,34.0,66.73,17.0,33.37,124.0,243.39,349.0,685.01,1640.0,3218.97,90.0,176.65,10.0,345.45,Pocatello,Brian Blad,Idaho,
Clearlakecity,CA,11804,2.28,4.35,91.05,1.06,5.69,0,0.0,16600,48.41,22.96,23.99,20998,9531,9679,7842,7370,9129,7763.0,5860,2595,22.15,10.62,38.79,5.26,12.8,34.84,3.79,21.69,15.05,17.56,16.84,19.44,18.56,17.75,2.8,55.92,50.72,48.36,1.61,94.94,0.19,4.53,2.86,62.24,6.51,78.1,2,2136,70.8,65.59,1.31,57.4,1971,10.41,0.49,51000,68200,94600,43600,251,323,394,143,437,34.0,25.1,14.6,6,25,3.16,58.06,40.94,66.21,93.29,,10.7,1101.9,0.57,0.0,1,7.63,11.0,83.97,18.0,137.4,191.0,1458.02,461.0,3519.08,598.0,4564.89,76.0,580.15,13.0,1687.02,Clearlake,,California,
